First_Name,Last_Name,gender_id,origin_country_id,Date_of_Birth,Date_Hired,dept_id,site_id,pos_id
Hussian,Jalal,311,1000,04-07-1967,01-04-2022,3010,1002,3011
Allison,Kim,310,4000,27-06-1982,21-07-2024,3010,1002,3013
Gregory,Velazquez,311,6000,15-12-1967,07-11-2023,3010,1002,3012
Madison,Ramirez,310,11000,31-03-1991,18-09-2020,9010,1002,9012
Savannah,Miller,310,1000,24-02-1968,08-01-2021,9010,1001,9011
Amanda,Ochoa,310,8000,15-03-1988,19-12-2023,9010,1003,9013
Melissa,Meyer,310,2000,10-04-1978,01-09-2024,9010,2001,9018
Thaqif,Salim,311,1000,02-02-1993,26-01-2022,7010,1003,7014
Daniel,Shamsul,311,1000,06-03-2003,23-08-2020,3010,1003,3015
Hafiz,Wahid,311,2000,19-12-1981,18-11-2022,6010,2001,6014
Thaqif,Rizam,311,2000,10-05-1982,16-06-2024,6010,2001,6011
Zainuddin,Mohamad,311,1000,07-07-1984,19-11-2022,9050,1001,9051
Zainuddin,Rami,311,1000,15-07-1979,26-12-2019,9050,1003,9053
Fariz,Idris,311,1000,07-06-1975,02-09-2022,8010,1001,8012
Sulaiman,Saad,311,1000,22-07-1987,23-07-2022,1010,2001,1012
Luqman,Omar,311,1000,22-07-1986,08-06-2022,1010,1001,1012
Fadhil,Shamsul,311,1000,17-05-1976,05-05-2022,6010,1002,6014
Junaid,Zainuddin,311,2000,09-02-1973,16-02-2024,9050,2001,9054
Ilham,Zahid,311,1000,18-12-1989,07-03-2023,5010,1001,5013
Arif,Rizki,311,2000,23-08-1966,09-07-2020,5010,2001,5012
Syafiq,Safwan,311,1000,22-08-1979,22-12-2022,8010,1001,8011
Haziq,Zulkifli,311,1000,10-05-1980,03-05-2024,9010,2001,9017
Ridwan,Farhan,311,1000,15-06-2005,17-03-2022,2010,2001,2012
Taufik,Mustaqim,311,1000,05-05-1984,19-05-2022,6010,1002,6014
Qayyum,Khalid,311,2000,17-12-2001,02-04-2024,9010,2001,9017
Nizamuddin,Rizam,311,1000,12-01-2004,30-09-2020,6010,1001,6012
Abid,Zulkifli,311,1000,22-12-1964,13-12-2019,8010,2001,8013
Danish,Arif,311,1000,15-04-1982,23-07-2022,6010,1001,6011
Omar,Zainudeen,311,1000,12-06-2002,08-04-2022,1010,1002,1013
Zikri,Shamsul,311,2000,22-03-2006,21-11-2021,9010,2001,9014
Ridwan,Wahid,311,1000,05-04-1968,06-10-2023,2010,1001,2014
Omar,Zawawi,311,1000,12-12-1997,09-08-2020,3010,1002,3016
Khairul,Yasin,311,1000,18-08-2000,03-03-2020,9050,1001,9054
Ihsan,Rahman,311,1000,22-10-2002,25-07-2020,1010,1002,1013
Haikal,Basri,311,1000,06-03-1998,28-04-2023,5010,2001,5011
Ridwan,Omar,311,1000,13-09-1978,16-08-2021,1010,1003,1011
